Event,Site,Date,UTCTime,White,Black,WhiteElo,BlackElo,Result
Rated Bullet game,https://lichess.org/pAmZcqsN,2022.10.12,12:36:51,SepavaNeman,waltalgg,2127,2087,1-0
Rated Bullet game,https://lichess.org/7uXlMmpn,2022.10.12,12:35:24,WWWokla,waltalgg,2064,2082,0-1
Rated Bullet game,https://lichess.org/ZfvEULL5,2022.10.12,12:33:56,waltalgg,LupusMaximus,2088,2069,0-1
Rated Bullet game,https://lichess.org/CsVJry99,2022.10.12,12:32:14,gapin,waltalgg,2018,2094,1-0
Rated Bullet game,https://lichess.org/MnAzBkw8,2022.10.12,12:30:04,waltalgg,Pulverizer1,2089,2078,1-0
Rated Bullet game,https://lichess.org/mEoX3z4T,2022.10.12,12:27:40,waltalgg,Master_chess2005,2094,2094,0-1
Rated Bullet game,https://lichess.org/tO9K5L32,2022.10.12,12:26:17,waltalgg,EvaParis1971,2089,2096,1-0
Rated Bullet game,https://lichess.org/8yHg7pg6,2022.10.12,12:24:01,kapt31,waltalgg,2072,2083,0-1
Rated Bullet game,https://lichess.org/RpqigMOe,2022.10.12,12:22:04,waltalgg,zmeul,2078,2056,1-0
Rated Bullet game,https://lichess.org/gLi8tbrh,2022.10.12,12:21:00,Mutasvi,waltalgg,2063,2072,0-1
Rated Bullet game,https://lichess.org/9714bPAY,2022.10.12,12:18:56,RashidRaed,waltalgg,1984,2068,0-1
Rated Bullet game,https://lichess.org/LBeuiAXj,2022.10.12,12:16:40,waltalgg,Sweet-Strawberry,2075,1988,0-1
Rated Bullet game,https://lichess.org/NOuLhvXY,2022.10.12,12:14:29,Carkysha,waltalgg,2069,2069,0-1
Rated Bullet game,https://lichess.org/UaPS3o3o,2022.10.12,12:12:20,svkfox,waltalgg,2082,2063,0-1
Rated Blitz game,https://lichess.org/DLFD6Tpw,2022.10.10,18:10:28,waltalgg,BabyShark-Dododododo,1918,1917,1-0
Hourly UltraBullet Arena,https://lichess.org/eUjdrC7R,2022.10.10,13:41:13,waltalgg,archaeoadv,1757,1815,0-1
Hourly UltraBullet Arena,https://lichess.org/cLA56F1Q,2022.10.10,13:40:31,waltalgg,Nirnay61,1757,1267,1-0
Hourly UltraBullet Arena,https://lichess.org/tRHGHuE9,2022.10.10,13:39:45,SamPlaysTourneys,waltalgg,1687,1764,1-0
Hourly UltraBullet Arena,https://lichess.org/E4pVccQi,2022.10.10,13:38:57,waltalgg,PapaT_89,1771,1695,0-1
Hourly UltraBullet Arena,https://lichess.org/QE7yfFEC,2022.10.10,13:38:15,Ashvin-123,waltalgg,1210,1770,0-1
Hourly UltraBullet Arena,https://lichess.org/kcdhJLMq,2022.10.10,13:37:30,waltalgg,Sepehrov,1773,1935,0-1
Hourly UltraBullet Arena,https://lichess.org/c70wnBMa,2022.10.10,13:36:42,chess-loser2012,waltalgg,1641,1770,0-1
Hourly UltraBullet Arena,https://lichess.org/3gYXfMbI,2022.10.10,13:35:56,archaeoadv,waltalgg,1792,1764,0-1
Hourly UltraBullet Arena,https://lichess.org/U5ljucw5,2022.10.10,13:35:18,waltalgg,AbilashGv2009,1762,1491,1-0
Hourly UltraBullet Arena,https://lichess.org/6GNhnlJc,2022.10.10,13:34:32,SamPlaysTourneys,waltalgg,1694,1757,0-1
Hourly UltraBullet Arena,https://lichess.org/T8SUvc5r,2022.10.10,13:34:11,waltalgg,vita_play_Ridniy,1768,1313,0-1
Hourly UltraBullet Arena,https://lichess.org/rHrF9ker,2022.10.10,13:33:29,zeinab_baby82,waltalgg,1639,1764,0-1
Hourly UltraBullet Arena,https://lichess.org/rIAhkdRW,2022.10.10,13:32:41,waltalgg,archaeoadv,1769,1791,0-1
Hourly UltraBullet Arena,https://lichess.org/4bTpeCqZ,2022.10.10,13:31:55,Aamodupadhyaya,waltalgg,1674,1765,0-1
Hourly UltraBullet Arena,https://lichess.org/n94l1SD2,2022.10.10,13:30:52,waltalgg,archaeoadv,1770,1791,0-1
Hourly HyperBullet Arena,https://lichess.org/nS0kgVu0,2022.10.10,13:25:39,MaximKhimchenko,waltalgg,1761,2061,0-1
Hourly HyperBullet Arena,https://lichess.org/hBmhk2as,2022.10.10,13:24:30,waltalgg,Lgkllrr,2069,1929,0-1
Hourly HyperBullet Arena,https://lichess.org/BqKpZzJy,2022.10.10,13:23:09,omarbelal,waltalgg,1557,2068,0-1
Hourly HyperBullet Arena,https://lichess.org/4jqlsVDR,2022.10.10,13:21:49,AArush-05,waltalgg,1663,2073,1/2-1/2
Hourly HyperBullet Arena,https://lichess.org/K0izMpmp,2022.10.10,13:20:40,waltalgg,UnsoundGambitsOnly,2066,2118,1-0
Hourly HyperBullet Arena,https://lichess.org/6SmFnPbQ,2022.10.10,13:19:50,omarbelal,waltalgg,1551,2066,0-1
Hourly HyperBullet Arena,https://lichess.org/3GZ3fk6f,2022.10.10,13:18:12,waltalgg,zorro_in_black,2071,2075,0-1
Hourly HyperBullet Arena,https://lichess.org/XF1wf9ot,2022.10.10,13:16:59,waltalgg,DogukanOzdemir,2077,2094,0-1
Hourly HyperBullet Arena,https://lichess.org/8vt0m5M8,2022.10.10,13:15:44,Tolulope,waltalgg,1654,2076,0-1
Rated Bullet game,https://lichess.org/BOgAeHg6,2022.10.10,13:14:07,Totodile5,waltalgg,2065,2082,1-0
Rated Bullet game,https://lichess.org/kkiWXm6I,2022.10.10,13:11:54,pashka888,waltalgg,2215,2074,0-1
Rated Bullet game,https://lichess.org/tQTMVRat,2022.10.10,12:13:31,IFA_Chess,waltalgg,2060,2080,1-0
Rated Bullet game,https://lichess.org/thdKHRxN,2022.10.10,12:12:06,waltalgg,IFA_Chess,2074,2065,1-0
Rated Bullet game,https://lichess.org/Yry0CNEQ,2022.10.10,12:10:20,waltalgg,MrChaseTshabalala,2081,2031,0-1
Rated Bullet game,https://lichess.org/4DAsYjBX,2022.10.10,12:07:54,waltalgg,NorthlandCrasher,2074,2148,1-0
Rated Bullet game,https://lichess.org/tP0kVOoo,2022.10.10,12:06:12,waltalgg,Zangalis,2080,2070,0-1
Rated Bullet game,https://lichess.org/xlflHDML,2022.10.10,12:04:22,Kosovarbici,waltalgg,2117,2085,1-0
Rated Bullet game,https://lichess.org/oD9J1hZq,2022.10.10,12:02:20,nenecito,waltalgg,1993,2080,0-1
Rated Bullet game,https://lichess.org/OffwCADU,2022.10.10,12:00:33,waltalgg,nenecito,2076,1998,1-0
Rated Bullet game,https://lichess.org/v0TGsmnD,2022.10.10,11:58:15,iyaspogi,waltalgg,2040,2071,0-1
Rated Bullet game,https://lichess.org/vdOIOdIf,2022.10.10,11:56:05,ThoughtPolice,waltalgg,2050,2065,0-1
Rated Bullet game,https://lichess.org/7UPDyZDu,2022.10.10,11:53:54,waltalgg,EasyPoints4U,2071,2047,0-1
Rated Bullet game,https://lichess.org/kOXAKWks,2022.10.10,11:51:44,krdsasy,waltalgg,2074,2065,0-1
Rated Bullet game,https://lichess.org/yzAIm79D,2022.10.10,11:49:36,waltalgg,DamenProbleme,2060,2014,1-0
Rated Bullet game,https://lichess.org/IzO0qZFR,2022.10.10,11:47:29,waltalgg,Avantiragazzi,2066,2099,0-1
Rated Bullet game,https://lichess.org/O8czylRG,2022.10.10,10:29:44,R3v31,waltalgg,2071,2071,1-0
Rated Bullet game,https://lichess.org/IKzgUhIf,2022.10.10,10:28:02,zuntrader,waltalgg,2159,2076,1-0
Rated Bullet game,https://lichess.org/rXSuS5a2,2022.10.10,10:25:53,waltalgg,JakobSchack,2070,2046,1-0
Rated Bullet game,https://lichess.org/vumATQx8,2022.10.10,10:23:36,Elo801,waltalgg,2063,2065,0-1
Rated Bullet game,https://lichess.org/ewfQtgSI,2022.10.10,10:21:16,waltalgg,Nymzovitch,2059,2054,1-0
Rated Bullet game,https://lichess.org/Gepn9zBK,2022.10.10,10:19:12,waltalgg,Mauser10,2053,2045,1-0
Rated Blitz game,https://lichess.org/NKzQ7TFI,2022.10.08,19:19:07,Orlando_Skibraves,waltalgg,1871,1925,1-0
Rated Blitz game,https://lichess.org/aqSKGWKF,2022.10.08,19:12:02,waltalgg,Davit4141,1920,1883,1-0
Rated Blitz game,https://lichess.org/gL655MPN,2022.10.08,19:03:25,Goran783,waltalgg,1917,1914,0-1
Rated Bullet game,https://lichess.org/dP2hBy7f,2022.10.08,17:37:16,Mogowzeg,waltalgg,2055,2059,1-0
Rated Bullet game,https://lichess.org/p7znwri6,2022.10.08,17:35:07,waltalgg,shreekrishngupta12,2065,2042,0-1
Rated Bullet game,https://lichess.org/T19mcFaT,2022.10.08,17:33:13,cembaran1111,waltalgg,2000,2072,1-0
Rated Bullet game,https://lichess.org/GNRdl6Gu,2022.10.08,17:31:39,waltalgg,yogythtool,2077,2108,0-1
Rated Bullet game,https://lichess.org/r9YQLaXC,2022.10.08,17:29:30,oktroisani,waltalgg,2108,2071,0-1
Rated Bullet game,https://lichess.org/baAN7RmG,2022.10.08,17:27:11,waltalgg,Alfidemangsabani,2075,2171,0-1
Rated Bullet game,https://lichess.org/75qZDcuP,2022.10.08,17:25:06,Mike_Douglas,waltalgg,2087,2069,0-1
Rated Bullet game,https://lichess.org/0pDgDZCI,2022.10.07,16:45:08,waltalgg,Fraile,2074,2130,0-1
Rated Bullet game,https://lichess.org/b63ObBZh,2022.10.06,12:03:00,Vobarkun,waltalgg,2074,2079,1-0
Rated Bullet game,https://lichess.org/dKvpbDfZ,2022.10.06,11:05:22,waltalgg,drash31,2086,2034,0-1
Rated Bullet game,https://lichess.org/4xf9YzS8,2022.10.06,11:03:10,Trying2WinAgain,waltalgg,2099,2091,1-0
Rated Bullet game,https://lichess.org/h61ZYggF,2022.10.06,11:01:01,waltalgg,elmar555,2086,2078,1-0
Rated Bullet game,https://lichess.org/wJNp0MdG,2022.10.06,10:59:28,knarz,waltalgg,2174,2090,1-0
Rated Bullet game,https://lichess.org/2QtBf2ZV,2022.10.06,10:58:07,waltalgg,Adorno76,2096,2101,0-1
Rated Bullet game,https://lichess.org/nDM5KbbK,2022.10.06,10:56:12,viggie,waltalgg,2088,2090,0-1
Rated Bullet game,https://lichess.org/PPCCSXcc,2022.10.06,10:54:55,waltalgg,Zwartevogel,2083,2200,1-0
Rated Bullet game,https://lichess.org/Y4uKPDDC,2022.10.06,10:52:32,waltalgg,Strizzi1963,2088,2121,0-1
Rated Bullet game,https://lichess.org/DHWtHXTb,2022.10.06,10:51:05,SamGamgee1,waltalgg,2093,2088,1/2-1/2
Rated Bullet game,https://lichess.org/HPM3VAgr,2022.10.06,10:48:48,Cifundo_Patrick,waltalgg,2102,2082,0-1
Rated Bullet game,https://lichess.org/WwWUWCL8,2022.10.06,10:46:39,waltalgg,amaradista,2075,2108,1-0
Rated Bullet game,https://lichess.org/qrh6r2VA,2022.10.06,10:45:13,waltalgg,Tiradores,2069,2075,1-0
Rated Bullet game,https://lichess.org/ccn8xUji,2022.10.06,10:43:52,hasavn,waltalgg,2144,2074,1-0
Rated Bullet game,https://lichess.org/TSW5qE9P,2022.10.06,10:41:44,w0rld_champion,waltalgg,1964,2070,0-1
Rated Bullet game,https://lichess.org/eeqqJxyS,2022.10.06,10:40:52,Latinamado388,waltalgg,2038,2076,1-0
Rated Bullet game,https://lichess.org/OM5qITGc,2022.10.06,10:40:42,waltalgg,Patis7,2071,2047,1-0
Rated Bullet game,https://lichess.org/yqhCqOnR,2022.10.05,09:59:58,waltalgg,linaRiUS,2076,2087,0-1
Rated Bullet game,https://lichess.org/HdzHZADe,2022.10.05,09:58:20,CGB88,waltalgg,2022,2071,0-1
Rated Bullet game,https://lichess.org/5ek2L61v,2022.10.05,09:56:19,waltalgg,Cifundo_Patrick,2077,2102,0-1
Rated Bullet game,https://lichess.org/HiGl3nvq,2022.10.05,09:55:18,siderra,waltalgg,2006,2072,0-1
Rated Bullet game,https://lichess.org/2kTcdu8t,2022.10.05,09:53:40,waltalgg,sargan,2078,2054,0-1
Rated Bullet game,https://lichess.org/GWF8rea1,2022.10.05,09:51:18,waltalgg,haidar321,2072,2107,1-0
Rated Bullet game,https://lichess.org/o1DWOTsF,2022.10.05,09:48:59,teurtermos,waltalgg,2054,2066,0-1
Rated Bullet game,https://lichess.org/yJtH86no,2022.10.05,09:47:17,waltalgg,raskara,2061,2050,1-0
Rated Bullet game,https://lichess.org/gxnsGx0I,2022.10.05,09:45:36,sanjeevbansal62,waltalgg,2119,2065,1-0
Rated Bullet game,https://lichess.org/cw0Sti99,2022.10.05,09:43:38,Kanaev_Alexander,waltalgg,1996,2072,1-0
Rated Bullet game,https://lichess.org/ydH9VKS3,2022.10.05,09:41:12,Chesslvl1,waltalgg,2065,2078,1-0
Rated Bullet game,https://lichess.org/no0iFbmH,2022.10.05,09:40:23,waltalgg,Chesslvl1,2073,2071,1-0
Rated Bullet game,https://lichess.org/Mh6nblAp,2022.10.05,09:38:22,Chesslvl1,waltalgg,2077,2067,0-1
Rated Bullet game,https://lichess.org/xWg3bN58,2022.10.05,09:36:09,waltalgg,ZRiemann,2066,2091,1/2-1/2
Rated Bullet game,https://lichess.org/gQTeZMUU,2022.10.05,09:34:13,waltalgg,subs197,2073,2010,0-1
Rated Bullet game,https://lichess.org/vyWi6rtm,2022.10.05,09:32:21,canwewin,waltalgg,2059,2067,0-1
Rated Bullet game,https://lichess.org/K50KpVmV,2022.10.05,09:30:04,waltalgg,ChessTrimmer,2061,2082,1-0
Rated Bullet game,https://lichess.org/iK6UpFmB,2022.10.05,09:28:28,CGB88,waltalgg,2045,2061,1/2-1/2
Rated Bullet game,https://lichess.org/RpT8C05q,2022.10.05,09:26:09,waltalgg,Musashi_Samurai,2055,2069,1-0
Rated Blitz game,https://lichess.org/n7qaXmk9,2022.10.05,07:28:21,Patkov,waltalgg,1994,1918,1-0
Rated Blitz game,https://lichess.org/3KzVA19u,2022.10.05,06:16:41,waltalgg,kipperslipper,1915,1782,1-0
Rated Blitz game,https://lichess.org/YbaPBtES,2022.10.05,05:22:41,rama1572,waltalgg,1920,1920,1-0
Rated Blitz game,https://lichess.org/hGjpfDqK,2022.10.05,05:17:38,waltalgg,UPARELA,1916,1813,1-0
Hourly UltraBullet Arena,https://lichess.org/XAm1H1F4,2022.10.04,17:56:18,waltalgg,GarryKasparouf,1774,1893,0-1
Hourly UltraBullet Arena,https://lichess.org/G6CejJYi,2022.10.04,17:55:38,waltalgg,BFischer94,1775,2157,0-1
Hourly UltraBullet Arena,https://lichess.org/r2suCBCV,2022.10.04,17:54:46,famous_chessplayer,waltalgg,2063,1777,1-0
Hourly UltraBullet Arena,https://lichess.org/UbxtNbzE,2022.10.04,17:53:53,punitaswal,waltalgg,1727,1772,0-1
Hourly UltraBullet Arena,https://lichess.org/yk6QNiT2,2022.10.04,17:53:09,waltalgg,ryderhung,1764,1959,1-0
Hourly UltraBullet Arena,https://lichess.org/8RywHgbj,2022.10.04,17:52:26,jjylb,waltalgg,2047,1766,1-0
Hourly UltraBullet Arena,https://lichess.org/vJi2Eyoi,2022.10.04,17:51:55,waltalgg,ryderhung,1769,1959,0-1
Hourly UltraBullet Arena,https://lichess.org/uTV6KCXq,2022.10.04,17:51:21,Jesus-vous-bat-tous,waltalgg,2046,1771,1-0
Hourly UltraBullet Arena,https://lichess.org/VfgriltA,2022.10.04,17:50:41,waltalgg,Fitimiti123,1764,1847,1-0
Hourly UltraBullet Arena,https://lichess.org/58hWNkho,2022.10.04,17:49:49,C8C7C8C7C8C7C8C7C8C7,waltalgg,1844,1757,0-1
Hourly UltraBullet Arena,https://lichess.org/jkpcfzAL,2022.10.04,17:49:06,waltalgg,Uff_Your_Time,1751,1716,1-0
Hourly UltraBullet Arena,https://lichess.org/IUjaOpJt,2022.10.04,17:48:22,Ch3ssUnderlord,waltalgg,1508,1749,0-1
Hourly UltraBullet Arena,https://lichess.org/IV93tn6D,2022.10.04,17:47:34,waltalgg,C8C7C8C7C8C7C8C7C8C7,1754,1837,0-1
Hourly UltraBullet Arena,https://lichess.org/G1nn7edN,2022.10.04,17:46:52,jasaospbr,waltalgg,1429,1752,0-1
Hourly UltraBullet Arena,https://lichess.org/qvPDnjnH,2022.10.04,17:46:07,BFischer94,waltalgg,2125,1753,1-0
Hourly UltraBullet Arena,https://lichess.org/wx4c1QrK,2022.10.04,17:45:23,waltalgg,panther2016,1748,1706,1-0
Hourly UltraBullet Arena,https://lichess.org/Yg2q9rWS,2022.10.04,17:44:41,waltalgg,BFischer94,1749,2121,0-1
Hourly UltraBullet Arena,https://lichess.org/foxCnNl8,2022.10.04,17:43:59,C8C7C8C7C8C7C8C7C8C7,waltalgg,1842,1742,0-1
Hourly UltraBullet Arena,https://lichess.org/Q0ZTP6gt,2022.10.04,17:43:14,waltalgg,jjylb,1744,2038,0-1
Hourly UltraBullet Arena,https://lichess.org/PVVt7xbk,2022.10.04,17:42:30,MishaUglov3,waltalgg,1940,1741,1/2-1/2
Hourly UltraBullet Arena,https://lichess.org/XAukstXM,2022.10.04,17:41:44,Compiote,waltalgg,1829,1734,0-1
Hourly UltraBullet Arena,https://lichess.org/cdZlwTIW,2022.10.04,17:40:53,waltalgg,masterwen01,1735,2099,0-1
Hourly UltraBullet Arena,https://lichess.org/88lQkAOn,2022.10.04,17:40:05,panther2016,waltalgg,1708,1741,1-0
Hourly UltraBullet Arena,https://lichess.org/OW4javrg,2022.10.04,17:39:23,waltalgg,GarryKasparouf,1745,1899,0-1
Hourly UltraBullet Arena,https://lichess.org/U0EJb1Ph,2022.10.04,17:38:43,BlotterFan,waltalgg,1684,1740,0-1
Hourly UltraBullet Arena,https://lichess.org/qGEEp1p5,2022.10.04,17:37:57,waltalgg,onlyBullet23,1736,1632,1-0
Hourly UltraBullet Arena,https://lichess.org/0TBnSU7y,2022.10.04,17:37:21,Jesus-vous-bat-tous,waltalgg,2038,1738,1-0
Hourly UltraBullet Arena,https://lichess.org/PfiCxJhO,2022.10.04,17:36:33,waltalgg,alperentugradogan,1737,1295,1-0
Hourly UltraBullet Arena,https://lichess.org/3UrJ6jYr,2022.10.04,17:36:12,waltalgg,Jesus-vous-bat-tous,1739,2033,0-1
Hourly UltraBullet Arena,https://lichess.org/PYdlTmzo,2022.10.04,17:35:40,Compiote,waltalgg,1835,1743,1-0
Hourly UltraBullet Arena,https://lichess.org/He7rzgFk,2022.10.04,17:35:05,waltalgg,Himanshu_18,1752,1449,0-1
Hourly UltraBullet Arena,https://lichess.org/91c59ulk,2022.10.04,17:34:02,panther2016,waltalgg,1714,1747,0-1
Hourly UltraBullet Arena,https://lichess.org/2vnk5YMw,2022.10.04,17:32:58,waltalgg,Chess24_22,1746,1384,1-0
Hourly UltraBullet Arena,https://lichess.org/Hb2lW1fO,2022.10.04,17:32:11,waltalgg,Yagizzoz,1746,1177,1-0
Hourly UltraBullet Arena,https://lichess.org/Ez8U9wJ0,2022.10.04,17:31:40,Jesus-vous-bat-tous,waltalgg,2017,1748,1-0
Hourly UltraBullet Arena,https://lichess.org/yOX8YcGO,2022.10.04,17:31:08,KozlovDmitriy,waltalgg,1194,1747,0-1
Hourly UltraBullet Arena,https://lichess.org/AJKCCWhr,2022.10.04,17:30:37,waltalgg,BlotterFan,1742,1700,1-0
Rated Blitz game,https://lichess.org/pBw4o6mO,2022.10.04,15:21:41,TJS_1985,waltalgg,1977,1909,0-1
Rated Bullet game,https://lichess.org/J5R5iGlq,2022.10.04,13:59:42,waltalgg,regular-show,2060,2124,0-1
Rated Bullet game,https://lichess.org/ie4GQlwS,2022.10.04,13:57:44,Txiki,waltalgg,2034,2055,0-1
Hourly UltraBullet Arena,https://lichess.org/YZG6kgYr,2022.10.04,13:56:54,waltalgg,Brainy_Chess123,1742,1073,1-0
Hourly UltraBullet Arena,https://lichess.org/sKHD0hJ7,2022.10.04,13:56:13,Ch3ssUnderlord,waltalgg,1551,1751,1-0
Hourly UltraBullet Arena,https://lichess.org/TamM0P5u,2022.10.04,13:55:36,waltalgg,JohnnyChess,1749,1455,1-0
Hourly UltraBullet Arena,https://lichess.org/LDk0ACB4,2022.10.04,13:54:54,BadManUno,waltalgg,1497,1746,0-1
Hourly UltraBullet Arena,https://lichess.org/V1z8HO8V,2022.10.04,13:54:25,RubenTheKid,waltalgg,1239,1746,0-1
Hourly UltraBullet Arena,https://lichess.org/5WViz0FP,2022.10.04,13:53:54,waltalgg,Artem4ka,1745,1284,1-0
Hourly UltraBullet Arena,https://lichess.org/9sK76tQm,2022.10.04,13:53:10,MyPeace,waltalgg,1509,1742,0-1
Hourly UltraBullet Arena,https://lichess.org/F9wczLei,2022.10.04,13:52:39,waltalgg,VladDenis6,1742,1120,1-0
Rated Blitz game,https://lichess.org/4IaR90GT,2022.10.04,11:50:44,MSergey1976,waltalgg,1896,1904,0-1
Rated Blitz game,https://lichess.org/9X1htXZT,2022.10.03,15:00:40,waltalgg,margo987,1910,1910,0-1
Rated Blitz game,https://lichess.org/ve3Uo1Bc,2022.10.03,13:29:57,waltalgg,Jes_871,1914,2011,0-1
Rated Bullet game,https://lichess.org/tvtvdPZp,2022.10.03,11:10:05,bahtyar,waltalgg,2071,2060,1-0
Rated Bullet game,https://lichess.org/34ndDEFS,2022.10.03,11:08:35,MayerMind,waltalgg,2043,2066,1-0
Rated Bullet game,https://lichess.org/HHAfAPlW,2022.10.03,11:06:06,waltalgg,Baraikaladka,2061,2037,1-0
Rated Bullet game,https://lichess.org/xoiwBD1Q,2022.10.03,09:36:38,waltalgg,Killer-B,2067,2028,0-1
Rated Bullet game,https://lichess.org/fGRPVxqA,2022.10.03,08:46:53,waltalgg,Ishaank20,2061,2064,1-0
Rated Bullet game,https://lichess.org/um8Za70a,2022.10.03,08:43:41,rksriitkgp,waltalgg,2032,2068,1-0
Rated Bullet game,https://lichess.org/hPwBhmMN,2022.10.03,08:41:12,Utkarsh0802,waltalgg,2090,2073,1-0
Rated Bullet game,https://lichess.org/gIdsNVIV,2022.10.03,08:39:03,waltalgg,wohen1,2079,2066,0-1
Rated Bullet game,https://lichess.org/pmXNlZGW,2022.10.03,08:36:42,toramanov,waltalgg,2063,2073,0-1
Rated Bullet game,https://lichess.org/mSgdugZp,2022.10.02,10:45:22,waltalgg,Afymossan,2079,2096,0-1
Rated Bullet game,https://lichess.org/ioyE1vp5,2022.10.02,10:43:09,SDRULLO,waltalgg,2099,2073,0-1
Rated Bullet game,https://lichess.org/vuxX8o34,2022.10.02,10:41:14,waltalgg,cicero64,2068,2017,1-0
Rated Bullet game,https://lichess.org/VhyaEN4f,2022.10.02,10:39:01,M290605,waltalgg,2060,2062,0-1
Rated Bullet game,https://lichess.org/W9936qxx,2022.10.02,09:28:45,waltalgg,Meirkhanov03,2068,2032,0-1
Rated Bullet game,https://lichess.org/hEgEWtSP,2022.10.02,08:29:54,waltalgg,Fantaman,2074,2101,0-1
Rated Bullet game,https://lichess.org/56IPFGUz,2022.10.02,08:27:49,Wojtek124345,waltalgg,2077,2079,1-0
Rated Bullet game,https://lichess.org/7oJXexgN,2022.10.02,08:25:46,Philip_Marlowe,waltalgg,2069,2074,0-1
Rated Bullet game,https://lichess.org/uUFJHK5z,2022.10.02,08:23:50,waltalgg,DimonDJS,2068,2062,1-0
Rated Bullet game,https://lichess.org/Pgd3O45t,2022.10.02,08:21:39,waltalgg,Blindspotter,2062,2045,1-0
Rated Bullet game,https://lichess.org/upgKtp0B,2022.10.02,08:19:24,oskars24riga,waltalgg,2052,2057,0-1
Rated Bullet game,https://lichess.org/TozdFnZJ,2022.10.02,08:18:16,Spanyard,waltalgg,2133,2061,1-0
Rated Bullet game,https://lichess.org/INbV3ktx,2022.10.02,08:17:00,waltalgg,delben,2056,2052,1-0
Rated Bullet game,https://lichess.org/7Cic5nkO,2022.10.02,08:14:31,Deval100,waltalgg,2007,2051,0-1
Rated Bullet game,https://lichess.org/bWS6DYDJ,2022.10.02,08:12:16,T187,waltalgg,2124,2044,0-1
Rated Bullet game,https://lichess.org/3hRZoCmA,2022.10.02,08:10:03,waltalgg,MahyAr1365,2043,2084,1/2-1/2
Rated Bullet game,https://lichess.org/YQVf6TR2,2022.10.02,08:09:31,waltalgg,zhispas1,2049,2054,0-1
Rated Bullet game,https://lichess.org/3jywaAOm,2022.09.30,14:45:10,waltalgg,einarcf,2054,2052,0-1
Rated Bullet game,https://lichess.org/HSNo5ocR,2022.09.30,14:43:27,Jaavid_mehr_ahoora,waltalgg,2095,2059,1-0
Rated Bullet game,https://lichess.org/R5Rh7QOS,2022.09.30,14:42:18,fordrider,waltalgg,2038,2060,1/2-1/2
Rated Bullet game,https://lichess.org/zSJ8Jyhp,2022.09.30,14:40:23,waltalgg,sagy1122337,2066,2054,0-1
Rated Bullet game,https://lichess.org/wZyDXjT0,2022.09.30,14:38:33,Elmer_Omero,waltalgg,2103,2059,0-1
Rated Bullet game,https://lichess.org/2thTFsVU,2022.09.30,14:36:31,waltalgg,SEO96,2065,2055,0-1
Rated Blitz game,https://lichess.org/jFT2SOIF,2022.09.30,04:14:49,waltalgg,hamidazizi,1920,1893,0-1
≤2000 SuperBlitz Arena,https://lichess.org/Eg50H0Gs,2022.09.29,00:12:49,waltalgg,el-plodel-de-gta,1917,1734,1-0
≤2000 SuperBlitz Arena,https://lichess.org/Y8q6X4Oh,2022.09.29,00:06:24,zolika0118,waltalgg,1671,1926,1-0
Rated Blitz game,https://lichess.org/GMgFAsAA,2022.09.28,23:49:26,Karimhassanzadeh,waltalgg,1929,1921,0-1
Rated Blitz game,https://lichess.org/bYiHN9Zj,2022.09.28,23:28:06,nosiuss41,waltalgg,1935,1915,0-1
Rated Blitz game,https://lichess.org/wiTUEvWh,2022.09.28,23:22:08,hoangtubs90,waltalgg,1959,1908,0-1
Rated Blitz game,https://lichess.org/hovmOJCf,2022.09.28,23:10:25,waltalgg,Gois2022,1913,1985,0-1
Rated Bullet game,https://lichess.org/wwCnRG9h,2022.09.28,16:53:46,waltalgg,Jiggyfly,2070,2106,0-1
Rated Bullet game,https://lichess.org/4U7ADN52,2022.09.28,16:52:09,Feder1020,waltalgg,2101,2076,1-0
Rated Bullet game,https://lichess.org/YeaDKntc,2022.09.28,16:50:19,Schmoscar,waltalgg,2095,2081,1-0
Rated Bullet game,https://lichess.org/hr5WIpAh,2022.09.28,16:48:13,waltalgg,konjnj,2081,2078,1/2-1/2
Rated Bullet game,https://lichess.org/O10JxjIS,2022.09.28,16:45:55,waltalgg,Konstantin-happier,2088,2035,0-1
Rated Bullet game,https://lichess.org/CTO7O63C,2022.09.28,16:43:41,Ebraforsmurf,waltalgg,2110,2081,0-1
Rated Blitz game,https://lichess.org/0FISVQOF,2022.09.27,22:36:42,waltalgg,Redahefny,1918,1918,0-1
Rated Blitz game,https://lichess.org/BHfZpRsS,2022.09.27,21:29:13,omsol,waltalgg,1864,1925,1-0
Rated Blitz game,https://lichess.org/UOmcXjdG,2022.09.27,21:21:28,waltalgg,zarra1980,1919,1923,1-0
Rated Blitz game,https://lichess.org/M52hlTwt,2022.09.27,19:37:22,Jeandeslunes,waltalgg,1822,1927,1-0
Rated Blitz game,https://lichess.org/6sMqYIHz,2022.09.27,19:11:11,abominatore,waltalgg,2011,1931,1-0
Rated Bullet game,https://lichess.org/UJjOHUDt,2022.09.27,12:32:23,AmorFatiMementoMori,waltalgg,2082,2087,1-0
Rated Bullet game,https://lichess.org/H8uFEjfT,2022.09.27,12:31:20,waltalgg,AmorFatiMementoMori,2081,2088,1-0
Rated Bullet game,https://lichess.org/c9heyAQP,2022.09.27,12:29:33,waltalgg,soujirouseta,2076,2066,1-0
Rated Bullet game,https://lichess.org/RfxZUt6Q,2022.09.27,12:27:20,majid6429,waltalgg,2123,2075,1/2-1/2
Rated Bullet game,https://lichess.org/G7wilehn,2022.09.27,12:25:07,ffgffgffg,waltalgg,2094,2069,0-1
