Event,Site,Date,Round,White,Black,Result
Rated Blitz game,https://lichess.org/dFZ5WTek,2023.09.24,?,waltalgg,alechess64,1-0
Rated Blitz game,https://lichess.org/cW3xgaJd,2023.09.24,?,waltalgg,anelegis484,0-1
Rated Blitz game,https://lichess.org/upVsy1Ou,2023.09.24,?,SlashChords,waltalgg,1-0
Rated Blitz game,https://lichess.org/1fThRukR,2023.09.24,?,BlLabel,waltalgg,1-0
Rated Blitz game,https://lichess.org/9TefJDIK,2023.09.24,?,Hilib,waltalgg,0-1
Rated Blitz game,https://lichess.org/lb4az4Yc,2023.09.24,?,waltalgg,RindfleischBaum,0-1
Rated Blitz game,https://lichess.org/kGZgUcz9,2023.09.24,?,freakyFrank,waltalgg,1-0
Rated Blitz game,https://lichess.org/59st6pjG,2023.09.24,?,waltalgg,ffxg0x3,1-0
Rated Blitz game,https://lichess.org/uNcllOzQ,2023.09.24,?,BernsRevenge,waltalgg,0-1
Daily UltraBullet Arena,https://lichess.org/IJEXdmAp,2023.09.23,?,Dos_Botines,waltalgg,1-0
Daily UltraBullet Arena,https://lichess.org/UXIQtWfl,2023.09.23,?,Tomtday,waltalgg,1-0
Daily UltraBullet Arena,https://lichess.org/hflTQhb5,2023.09.23,?,waltalgg,vaidik_3,1-0
Daily UltraBullet Arena,https://lichess.org/aP2iDFop,2023.09.23,?,RobbyDamast,waltalgg,0-1
Daily UltraBullet Arena,https://lichess.org/UsWzeHrV,2023.09.23,?,waltalgg,vaidik_3,1-0
Daily UltraBullet Arena,https://lichess.org/DCNfw7WO,2023.09.23,?,ChessCamp96,waltalgg,1-0
Daily UltraBullet Arena,https://lichess.org/pnn8uRq4,2023.09.23,?,RobbyDamast,waltalgg,0-1
Daily UltraBullet Arena,https://lichess.org/6KbpPPXZ,2023.09.23,?,waltalgg,NOTFAIRBM,1-0
Daily UltraBullet Arena,https://lichess.org/hIT8UwHx,2023.09.23,?,waltalgg,roblensky,1-0
Daily UltraBullet Arena,https://lichess.org/RT1qmQdV,2023.09.23,?,mehmetemin01,waltalgg,1-0
Daily UltraBullet Arena,https://lichess.org/lN8yW88h,2023.09.23,?,kutay_alphan,waltalgg,0-1
Daily UltraBullet Arena,https://lichess.org/xn440Pju,2023.09.23,?,waltalgg,Hansel90,1-0
Daily UltraBullet Arena,https://lichess.org/XYD4Ju9V,2023.09.23,?,waltalgg,Amirov77,1-0
Daily UltraBullet Arena,https://lichess.org/uF6PAZ9W,2023.09.23,?,RoboSoft,waltalgg,0-1
Daily UltraBullet Arena,https://lichess.org/Ju35RDaY,2023.09.23,?,Amirov77,waltalgg,0-1
Daily UltraBullet Arena,https://lichess.org/zbFs3U5n,2023.09.23,?,Godches,waltalgg,0-1
Daily UltraBullet Arena,https://lichess.org/3aLQ2DSZ,2023.09.23,?,waltalgg,celtaforte92,1-0
Rated Bullet game,https://lichess.org/8WN4i6OC,2023.09.23,?,waltalgg,Hamzeh1416,1-0
Rated Bullet game,https://lichess.org/q4ka2GBi,2023.09.23,?,Arsim18,waltalgg,0-1
Rated Bullet game,https://lichess.org/AcY7qgSV,2023.09.23,?,waltalgg,zdexadrez,1-0
Rated Bullet game,https://lichess.org/wqvFyyyS,2023.09.23,?,waltalgg,Danflora,1-0
Rated Bullet game,https://lichess.org/3slx15DA,2023.09.23,?,sjavanrooh,waltalgg,0-1
Rated Bullet game,https://lichess.org/WhcgSakz,2023.09.23,?,Najiib,waltalgg,0-1
Rated Bullet game,https://lichess.org/DtqajHsm,2023.09.23,?,waltalgg,vj3934,1-0
Rated Bullet game,https://lichess.org/bUtAlKHW,2023.09.23,?,waltalgg,Tretik,1-0
Rated Bullet game,https://lichess.org/0uvs8uJq,2023.09.23,?,bodybyjustin,waltalgg,1-0
Rated Bullet game,https://lichess.org/uihVuYCI,2023.09.23,?,hasanbasri35,waltalgg,0-1
Rated Bullet game,https://lichess.org/rvwg79UE,2023.09.23,?,Ademola,waltalgg,0-1
Rated Bullet game,https://lichess.org/gyZuZzSO,2023.09.23,?,waltalgg,Oberzutzler,1-0
Rated Bullet game,https://lichess.org/FEkQ9GHB,2023.09.23,?,waltalgg,Ilja3,1-0
Rated Bullet game,https://lichess.org/CIuifS9X,2023.09.23,?,abumohammad,waltalgg,1-0
Rated Bullet game,https://lichess.org/XRfdHy32,2023.09.23,?,waltalgg,Keybits,0-1
Rated Bullet game,https://lichess.org/cafQRKXT,2023.09.23,?,waltalgg,Booza19,1-0
Rated Bullet game,https://lichess.org/OVeOGYoz,2023.09.23,?,vlada1977,waltalgg,0-1
Rated Bullet game,https://lichess.org/KVv5uMeD,2023.09.23,?,Pr-Hallassou,waltalgg,1-0
Rated Bullet game,https://lichess.org/rnyi4fdY,2023.09.23,?,waltalgg,donpallets,1-0
Rated Bullet game,https://lichess.org/3yKrfobD,2023.09.23,?,waltalgg,Diana_13,0-1
Rated Bullet game,https://lichess.org/Wud6r6IR,2023.09.23,?,TawandaZ,waltalgg,0-1
Rated Bullet game,https://lichess.org/kayOhhSx,2023.09.23,?,MamoruTakamura,waltalgg,1-0
Rated Bullet game,https://lichess.org/k0I3RP67,2023.09.23,?,waltalgg,xexexexaxaxa,1-0
Rated Bullet game,https://lichess.org/XfqXMQUv,2023.09.23,?,waltalgg,gamanest,1-0
Rated Bullet game,https://lichess.org/Q45xpvti,2023.09.23,?,uza0397,waltalgg,0-1
Rated Bullet game,https://lichess.org/rvm6ximg,2023.09.23,?,waltalgg,Ferxx_08,0-1
Rated Bullet game,https://lichess.org/OOePy38c,2023.09.23,?,Pr-Hallassou,waltalgg,0-1
Rated Bullet game,https://lichess.org/myQCQjA0,2023.09.23,?,mister_1989,waltalgg,0-1
Rated Bullet game,https://lichess.org/Jned6oWh,2023.09.23,?,waltalgg,Abolfazl_Abedi3,1-0
Rated Bullet game,https://lichess.org/gdmFYr2H,2023.09.23,?,Llomand,waltalgg,1-0
Rated Bullet game,https://lichess.org/Ht3hPHoi,2023.09.23,?,Allucard99,waltalgg,0-1
Rated Bullet game,https://lichess.org/2bYtzyy7,2023.09.23,?,waltalgg,bkan80,0-1
Rated Bullet game,https://lichess.org/XJpDGi5O,2023.09.23,?,arthurandrade,waltalgg,0-1
Rated Bullet game,https://lichess.org/QORoRTdD,2023.09.23,?,waltalgg,Axooo,1-0
Rated Bullet game,https://lichess.org/9zGSJ7fc,2023.09.23,?,jhonatansimon,waltalgg,1-0
Rated Bullet game,https://lichess.org/pU6kZLw5,2023.09.23,?,waltalgg,Alejandro_Wiebe,1-0
Rated Bullet game,https://lichess.org/WnLC7X1R,2023.09.23,?,waltalgg,RamoTX,1-0
Rated Bullet game,https://lichess.org/eTY5sCpx,2023.09.23,?,waltalgg,AlexisMarseilleFC,1-0
Rated Bullet game,https://lichess.org/2Ew88m5E,2023.09.23,?,nisuunn,waltalgg,0-1
Rated Bullet game,https://lichess.org/QWw3yucu,2023.09.23,?,Twitch7_Mile,waltalgg,1-0
Rated Bullet game,https://lichess.org/Dksxnv4u,2023.09.23,?,badbishop314,waltalgg,0-1
Rated Bullet game,https://lichess.org/n0bnzKf2,2023.09.23,?,waltalgg,Ferrelinperu,1-0
Rated Bullet game,https://lichess.org/JtBOjx4R,2023.09.23,?,waltalgg,el_tiburon0,1-0
Rated Bullet game,https://lichess.org/ZvafUJgu,2023.09.23,?,jupiter10,waltalgg,0-1
Rated Bullet game,https://lichess.org/7ctPuWsj,2023.09.23,?,waltalgg,elmatador321,0-1
Rated Bullet game,https://lichess.org/tt0K7eS1,2023.09.23,?,Steven30ML,waltalgg,0-1
Rated Bullet game,https://lichess.org/lub6bGSr,2023.09.23,?,waltalgg,Snapp_food,1-0
Rated Bullet game,https://lichess.org/mJOR1Z8T,2023.09.23,?,pedsneurodoc,waltalgg,0-1
Rated Bullet game,https://lichess.org/KlppXrB6,2023.09.23,?,waltalgg,Piero_Marmanillo,0-1
Daily UltraBullet Arena,https://lichess.org/5HkWqWhr,2023.09.22,?,Nhyllz,waltalgg,1-0
Daily UltraBullet Arena,https://lichess.org/VLSgIxue,2023.09.22,?,waltalgg,ABOLFAZ14,1-0
Daily UltraBullet Arena,https://lichess.org/NxI8027C,2023.09.22,?,waltalgg,BRF-2011,1-0
Daily UltraBullet Arena,https://lichess.org/kAnACYUb,2023.09.22,?,NOTFAIRBM,waltalgg,1-0
Daily UltraBullet Arena,https://lichess.org/IFadmlbO,2023.09.22,?,waltalgg,Ajedrezultrabullet,0-1
Daily UltraBullet Arena,https://lichess.org/MNb6lW26,2023.09.22,?,waltalgg,manitodeplomo,1-0
Daily UltraBullet Arena,https://lichess.org/UpW9E3Tf,2023.09.22,?,lugat12,waltalgg,0-1
Daily UltraBullet Arena,https://lichess.org/vwkFED3L,2023.09.22,?,EnglundGambitOnly,waltalgg,0-1
Daily UltraBullet Arena,https://lichess.org/etIYY9po,2023.09.22,?,waltalgg,Nalchik_07,0-1
Daily UltraBullet Arena,https://lichess.org/qDLNbe5u,2023.09.22,?,wgoto744,waltalgg,1-0
Daily UltraBullet Arena,https://lichess.org/O2B0KDyg,2023.09.22,?,waltalgg,risingsupergiant,0-1
Daily UltraBullet Arena,https://lichess.org/RiYYXB8v,2023.09.22,?,manitodeplomo,waltalgg,0-1
Daily UltraBullet Arena,https://lichess.org/1T5wBDFK,2023.09.22,?,waltalgg,ABOLFAZ14,1-0
Daily UltraBullet Arena,https://lichess.org/csyZB8wo,2023.09.22,?,manitodeplomo,waltalgg,1-0
Daily UltraBullet Arena,https://lichess.org/2Lqtgipl,2023.09.22,?,waltalgg,Nhyllz,0-1
Daily UltraBullet Arena,https://lichess.org/IVzjq0Ek,2023.09.22,?,waltalgg,James_87,1-0
Daily UltraBullet Arena,https://lichess.org/VDImb9Jc,2023.09.22,?,Nhyllz,waltalgg,1-0
Daily UltraBullet Arena,https://lichess.org/47XBfyhX,2023.09.22,?,wgoto744,waltalgg,0-1
Daily UltraBullet Arena,https://lichess.org/YKSNL5oM,2023.09.22,?,waltalgg,BRF-2011,0-1
Daily UltraBullet Arena,https://lichess.org/GOHrAFcl,2023.09.22,?,waltalgg,aflickering,1-0
Daily UltraBullet Arena,https://lichess.org/Xh1Kr8C5,2023.09.22,?,James_87,waltalgg,0-1
Daily UltraBullet Arena,https://lichess.org/dhVp6Sbz,2023.09.22,?,waltalgg,Goliath_01,1-0
Daily UltraBullet Arena,https://lichess.org/lOeleZCx,2023.09.22,?,NicolasRuelas_Ccecna,waltalgg,0-1
Daily UltraBullet Arena,https://lichess.org/fQCsP7DA,2023.09.22,?,Phoenixascends,waltalgg,1-0
Daily UltraBullet Arena,https://lichess.org/1UoAYjgK,2023.09.22,?,waltalgg,James_87,0-1
Daily UltraBullet Arena,https://lichess.org/cB56A6BD,2023.09.22,?,KnightChuks,waltalgg,0-1
Daily UltraBullet Arena,https://lichess.org/RLSNHXsn,2023.09.22,?,Magic_Monkey,waltalgg,0-1
Daily UltraBullet Arena,https://lichess.org/nhn1qSkW,2023.09.22,?,waltalgg,Goliath_01,1-0
Daily UltraBullet Arena,https://lichess.org/9V32Q2LO,2023.09.22,?,Magic_Monkey,waltalgg,0-1
Daily UltraBullet Arena,https://lichess.org/qMY5QwYh,2023.09.22,?,Solomeoazul,waltalgg,1-0
Daily UltraBullet Arena,https://lichess.org/V7Iw5Spd,2023.09.22,?,waltalgg,ALFA_OMEGA1,0-1
Daily UltraBullet Arena,https://lichess.org/XAVVoD3z,2023.09.22,?,SpecledEggs,waltalgg,1-0
Daily UltraBullet Arena,https://lichess.org/ggwHVSuu,2023.09.22,?,waltalgg,berserkkmaster,0-1
Daily UltraBullet Arena,https://lichess.org/XuklsWJE,2023.09.22,?,GCC_Isni,waltalgg,0-1
Rated Bullet game,https://lichess.org/8k0m188j,2023.09.22,?,luigideflocos,waltalgg,1-0
Kazakhstan Cup Qualifier - Stage 1,https://lichess.org/PMrv0Tph,2023.09.22,?,vitaha0909,waltalgg,1-0
Kazakhstan Cup Qualifier - Stage 1,https://lichess.org/CpAI9WkI,2023.09.22,?,wishfulthinking2024,waltalgg,1-0
Kazakhstan Cup Qualifier - Stage 1,https://lichess.org/D6sHgJil,2023.09.22,?,waltalgg,ACM_Slava,1-0
Kazakhstan Cup Qualifier - Stage 1,https://lichess.org/vLmXnRBy,2023.09.22,?,waltalgg,Evren_04,0-1
Kazakhstan Cup Qualifier - Stage 1,https://lichess.org/2i8QEmZM,2023.09.22,?,dimaskuz,waltalgg,0-1
Kazakhstan Cup Qualifier - Stage 1,https://lichess.org/XNSl0aDi,2023.09.22,?,waltalgg,Thakur_chess,1-0
Kazakhstan Cup Qualifier - Stage 1,https://lichess.org/2mGlFhwm,2023.09.22,?,Brave_spirit12,waltalgg,1-0
Rated Bullet game,https://lichess.org/Cgy3wZWJ,2023.09.22,?,vladimiralexeev20,waltalgg,1-0
Rated Bullet game,https://lichess.org/eloAVyYG,2023.09.22,?,waltalgg,leshamdi,1-0
Rated Bullet game,https://lichess.org/yS0Hrbsp,2023.09.22,?,strongani,waltalgg,1-0
Rated Blitz game,https://lichess.org/KLUxzqym,2023.09.22,?,stevebonet,waltalgg,1-0
Rated Blitz game,https://lichess.org/OaZt40UR,2023.09.22,?,waltalgg,hc83,1-0
Rated Blitz game,https://lichess.org/0MKj4gS4,2023.09.22,?,waltalgg,groofke,0-1
Rated Blitz game,https://lichess.org/sqj7f5qZ,2023.09.22,?,waltalgg,dutchgrammer,1-0
Rated Blitz game,https://lichess.org/8kdDeXMs,2023.09.22,?,ornadlo,waltalgg,1-0
Rated Blitz game,https://lichess.org/ScA9DdrK,2023.09.22,?,larisaamin,waltalgg,1/2-1/2
Rated Blitz game,https://lichess.org/60f2vSJ8,2023.09.22,?,waltalgg,kostasdiamantis,1-0
Rated Bullet game,https://lichess.org/nVWRmiTY,2023.09.21,?,waltalgg,odessacity,0-1
Rated Bullet game,https://lichess.org/XjmwNUsc,2023.09.21,?,FireeRampKa,waltalgg,0-1
Rated Bullet game,https://lichess.org/owBqgFPy,2023.09.21,?,Gabit_kz,waltalgg,0-1
Rated Bullet game,https://lichess.org/p7g5UbpK,2023.09.21,?,waltalgg,realehsan2000,0-1
Rated Bullet game,https://lichess.org/g32g989F,2023.09.21,?,souu2,waltalgg,1-0
Rated Bullet game,https://lichess.org/F8faKmi1,2023.09.21,?,waltalgg,Gmpollack,1-0
Rated Bullet game,https://lichess.org/VL3KxU6T,2023.09.21,?,fred4,waltalgg,1-0
Rated Bullet game,https://lichess.org/Gg3frzgu,2023.09.21,?,waltalgg,webclass,1-0
Blitz,https://lichess.org/9QPuefQU,2023.09.20,?,waltalgg,olegpel1970,0-1
Blitz,https://lichess.org/tv84zWLR,2023.09.20,?,ahmed1976,waltalgg,0-1
Blitz,https://lichess.org/OFzyFVyG,2023.09.20,?,waltalgg,Sergey737,1-0
Blitz,https://lichess.org/lfCH8owp,2023.09.20,?,Mustapha-elyazidi,waltalgg,1-0
Blitz,https://lichess.org/szGZWg4p,2023.09.20,?,waltalgg,esspion,1-0
Blitz,https://lichess.org/PQPRFm6n,2023.09.20,?,Angelwmh98,waltalgg,0-1
Blitz,https://lichess.org/UiSgpuFy,2023.09.20,?,waltalgg,rickchefe4321,0-1
Rated Bullet game,https://lichess.org/tjsTwtEj,2023.09.20,?,practiceseshh,waltalgg,0-1
Rated Bullet game,https://lichess.org/aAO2DtzP,2023.09.20,?,waltalgg,leancb,1-0
Rated Bullet game,https://lichess.org/5VrAT0cW,2023.09.20,?,Ustad-e-Azam,waltalgg,0-1
Rated Bullet game,https://lichess.org/cWv3pNVy,2023.09.20,?,draper14,waltalgg,0-1
Rated Bullet game,https://lichess.org/HPwEUQ6Q,2023.09.20,?,waltalgg,rodrigocpj,0-1
Rated Bullet game,https://lichess.org/arTLR9xP,2023.09.20,?,waltalgg,poker988,1-0
Rated Bullet game,https://lichess.org/om371mhu,2023.09.20,?,roseb1,waltalgg,0-1
Rated Bullet game,https://lichess.org/ayvyDscL,2023.09.20,?,fafaf00,waltalgg,0-1
Rated Bullet game,https://lichess.org/5ZGG59fE,2023.09.20,?,waltalgg,rincincinzio,0-1
Rated Blitz game,https://lichess.org/jCABzWex,2023.09.20,?,waltalgg,ztecC,0-1
Rated Blitz game,https://lichess.org/1M6proyc,2023.09.20,?,Fabiankuc083,waltalgg,0-1
Rated Blitz game,https://lichess.org/9Em6VW5R,2023.09.20,?,waltalgg,Loucoatroz,0-1
Rated Blitz game,https://lichess.org/HDMjob0f,2023.09.20,?,waltalgg,Figurenschubser0815,0-1
Rated Blitz game,https://lichess.org/mGOc77EH,2023.09.20,?,sekbanali,waltalgg,0-1
Rated Blitz game,https://lichess.org/sckzWLEC,2023.09.20,?,xeqani_1985,waltalgg,1-0
Rated Bullet game,https://lichess.org/DMr29j7M,2023.09.19,?,waltalgg,nikhalkias76,0-1
Rated Bullet game,https://lichess.org/GDc3wqoo,2023.09.19,?,pilsnerhell,waltalgg,0-1
Rated Bullet game,https://lichess.org/z72yylv1,2023.09.19,?,Alan_system1,waltalgg,0-1
Rated Bullet game,https://lichess.org/sctUlUp2,2023.09.19,?,waltalgg,josue16,1-0
Rated Bullet game,https://lichess.org/TH7kYI9M,2023.09.19,?,waltalgg,SmoothJazz81,0-1
Rated Bullet game,https://lichess.org/l1Roq3JS,2023.09.19,?,Spaccarotella,waltalgg,0-1
Rated Bullet game,https://lichess.org/lMGPJIWl,2023.09.19,?,bolborados,waltalgg,1/2-1/2
Rated Bullet game,https://lichess.org/8gRDmAch,2023.09.19,?,waltalgg,bounmed,1-0
Hourly Bullet Arena,https://lichess.org/UBKxA3Pz,2023.09.19,?,wabusiachess,waltalgg,1-0
Hourly Bullet Arena,https://lichess.org/9T0s4YEl,2023.09.19,?,waltalgg,Entrego,0-1
Rated Bullet game,https://lichess.org/TAJVZjMX,2023.09.19,?,waltalgg,Winni6711,0-1
Rated Bullet game,https://lichess.org/EOJezzIH,2023.09.19,?,kwdwrv2,waltalgg,1-0
Rated Bullet game,https://lichess.org/Y89S75pS,2023.09.19,?,waltalgg,rebeldd,0-1
Rated Bullet game,https://lichess.org/XvOgmlKI,2023.09.19,?,CedF974,waltalgg,0-1
Rated Bullet game,https://lichess.org/8XyF3PbS,2023.09.19,?,BillyBouwmans,waltalgg,0-1
Rated Bullet game,https://lichess.org/pXSsGt3b,2023.09.19,?,waltalgg,Aquintus,0-1
Rated Bullet game,https://lichess.org/iVkXc5BT,2023.09.19,?,waltalgg,SaintRafail,0-1
Rated Bullet game,https://lichess.org/MapWT8TT,2023.09.19,?,Superpogs_17,waltalgg,1-0
Rated Bullet game,https://lichess.org/DwpYMHVf,2023.09.19,?,waltalgg,PAQUETOVIC,0-1
Rated Bullet game,https://lichess.org/cBC01J58,2023.09.19,?,waltalgg,theneverhood,1-0
Rated Bullet game,https://lichess.org/zSpUL87J,2023.09.19,?,FatihBKR,waltalgg,1-0
GM Zhigalko Sergei Stream 1+0 Arena,https://lichess.org/fPhXu7va,2023.09.19,?,waltalgg,Samurai_04,1-0
GM Zhigalko Sergei Stream 1+0 Arena,https://lichess.org/3ZoJeLoc,2023.09.19,?,Antony708,waltalgg,1-0
Rated Bullet game,https://lichess.org/olIt5oRV,2023.09.18,?,waltalgg,argosek,0-1
Rated Bullet game,https://lichess.org/ai5iyEfA,2023.09.18,?,JoeElHage,waltalgg,1-0
Rated Bullet game,https://lichess.org/TVXjTlUO,2023.09.18,?,jhordyRobles_unsch,waltalgg,0-1
Rated Bullet game,https://lichess.org/RJVygx3O,2023.09.18,?,kewinpalacios,waltalgg,1/2-1/2
Rated Bullet game,https://lichess.org/KUNGBFIl,2023.09.18,?,waltalgg,podaycombined,0-1
Rated Bullet game,https://lichess.org/Nn8AmB11,2023.09.18,?,putje66,waltalgg,1/2-1/2
Rated Bullet game,https://lichess.org/uxelVMDh,2023.09.18,?,waltalgg,Federal_goose_815,0-1
Rated Bullet game,https://lichess.org/zEt2jV2K,2023.09.18,?,waltalgg,gideonek,1-0
Rated Bullet game,https://lichess.org/Q7zF3hXl,2023.09.18,?,Space_warrior1212,waltalgg,0-1
Rated Bullet game,https://lichess.org/5xUbvgpP,2023.09.18,?,waltalgg,Yahyank,1-0
Rated Bullet game,https://lichess.org/wFNs2W2R,2023.09.18,?,krikant,waltalgg,0-1
Rated Bullet game,https://lichess.org/Kfa7Z9oj,2023.09.18,?,waltalgg,JakubCzubak,0-1
Rated Bullet game,https://lichess.org/c3nD35yI,2023.09.18,?,waltalgg,wbbi,1-0
Rated Bullet game,https://lichess.org/XfNaejkV,2023.09.18,?,BrunoGoes,waltalgg,1-0
Rated Bullet game,https://lichess.org/wW0SP0hu,2023.09.18,?,MHAWK55,waltalgg,0-1
Rated Bullet game,https://lichess.org/YoTGFdkx,2023.09.18,?,waltalgg,Z-A-M-B-R-O-TT-A,1-0
Rated Bullet game,https://lichess.org/c1uGExnc,2023.09.18,?,molodoy_chinaski,waltalgg,0-1
Rated Bullet game,https://lichess.org/pywFqxsu,2023.09.18,?,waltalgg,Spyr0-zer0,1-0
Rated Bullet game,https://lichess.org/VZD9i7fp,2023.09.18,?,The__Exalted,waltalgg,1-0
Rated Bullet game,https://lichess.org/90iE2T2u,2023.09.18,?,waltalgg,Z-A-M-B-R-O-TT-A,0-1
Rated Blitz game,https://lichess.org/Rh9VEcRw,2023.09.18,?,MetalyAmnaz,waltalgg,1-0
Rated Blitz game,https://lichess.org/aHjMopKk,2023.09.18,?,waltalgg,Sens,1-0
Rated Blitz game,https://lichess.org/CjHF9bwy,2023.09.18,?,PAWlak13,waltalgg,1-0
Rated Bullet game,https://lichess.org/Si21AibW,2023.09.18,?,waltalgg,Peruanoporsiempre,0-1
Rated Bullet game,https://lichess.org/3RM9TeDu,2023.09.18,?,vitaminccc,waltalgg,1-0
Rated Bullet game,https://lichess.org/mlwcjkdk,2023.09.18,?,waltalgg,EnZwHyOh,1-0
Rated Bullet game,https://lichess.org/HE5w7yV1,2023.09.18,?,TheKingII,waltalgg,1-0
Rated Bullet game,https://lichess.org/VgPSkLoQ,2023.09.18,?,lordplordp,waltalgg,1-0
Rated Bullet game,https://lichess.org/Y7YsNWBm,2023.09.18,?,waltalgg,gwaltig,1-0
Rated Bullet game,https://lichess.org/egknsgom,2023.09.18,?,waltalgg,kxkmull,0-1
Rated Bullet game,https://lichess.org/vVlfpS8c,2023.09.18,?,gerespgaming,waltalgg,0-1
Rated Bullet game,https://lichess.org/rflBDlGB,2023.09.18,?,RonaldCrisanto,waltalgg,1/2-1/2
Rated Bullet game,https://lichess.org/T0BTaEve,2023.09.18,?,waltalgg,iulica1,0-1
Rated Bullet game,https://lichess.org/jEBuny2w,2023.09.18,?,SHANKAR1501,waltalgg,1-0
Rated Bullet game,https://lichess.org/0u3k2VoC,2023.09.18,?,waltalgg,itsamdy,0-1
Rated Bullet game,https://lichess.org/cIjTwESP,2023.09.18,?,waltalgg,KuzhelAlexey,1-0
Rated Bullet game,https://lichess.org/i94KyrtH,2023.09.18,?,clgut,waltalgg,1-0
Rated Bullet game,https://lichess.org/RDWLXjIY,2023.09.18,?,waltalgg,pioren12,1/2-1/2
Rated Bullet game,https://lichess.org/ebvsUymi,2023.09.18,?,waltalgg,korenevec1983,0-1
Rated Bullet game,https://lichess.org/8FRxGsyX,2023.09.18,?,docsumit,waltalgg,1/2-1/2
Rated Bullet game,https://lichess.org/FAtooMaU,2023.09.18,?,Blowsky,waltalgg,1-0
Rated Bullet game,https://lichess.org/dsuT2bql,2023.09.18,?,waltalgg,CaRdAk,0-1
Rated Bullet game,https://lichess.org/SPW8eDNr,2023.09.18,?,waltalgg,IwanD,0-1
Rated Bullet game,https://lichess.org/JrsKzYrK,2023.09.17,?,nikhalkias76,waltalgg,0-1
Rated Bullet game,https://lichess.org/whPPWXLf,2023.09.17,?,Thurr00,waltalgg,1-0
Rated Bullet game,https://lichess.org/ENCQbEC1,2023.09.17,?,waltalgg,RASO30,0-1
Rated Bullet game,https://lichess.org/a2bCu7fo,2023.09.17,?,waltalgg,Strike2,1-0
Rated Bullet game,https://lichess.org/jRCmJb6S,2023.09.17,?,salem_Tarek_10,waltalgg,1-0
Rated Bullet game,https://lichess.org/ajhb59xh,2023.09.17,?,Krehmatov,waltalgg,0-1
Rated Bullet game,https://lichess.org/8w2iKF4i,2023.09.17,?,waltalgg,Graminho,0-1
Rated Bullet game,https://lichess.org/TUTjJLAD,2023.09.17,?,waltalgg,MoRiarty_23,1-0
Rated Bullet game,https://lichess.org/xdAnoGeB,2023.09.17,?,VIDIPCHESS,waltalgg,1-0
Rated Bullet game,https://lichess.org/IFvFSIjq,2023.09.17,?,foreverr46,waltalgg,1/2-1/2
Rated Bullet game,https://lichess.org/alwfehyT,2023.09.17,?,fatih-35,waltalgg,1-0
Rated Bullet game,https://lichess.org/4kMue01n,2023.09.17,?,waltalgg,ARMANN5,1-0
Rated Bullet game,https://lichess.org/7GzNqE2s,2023.09.17,?,Guuuu,waltalgg,0-1
Rated Bullet game,https://lichess.org/tDBFsPsP,2023.09.17,?,waltalgg,hangman123,1-0
Rated Bullet game,https://lichess.org/4QqgNNr8,2023.09.17,?,waltalgg,blunderchess-8,1-0
Rated Bullet game,https://lichess.org/Kg5M0Zo8,2023.09.17,?,QuarkPuppe,waltalgg,0-1
Rated Bullet game,https://lichess.org/SrIpxkJu,2023.09.17,?,waltalgg,Basansam,1-0
Rated Bullet game,https://lichess.org/8p8pf3II,2023.09.17,?,sabahkubaisi,waltalgg,0-1
Rated Bullet game,https://lichess.org/W1UfPBa8,2023.09.17,?,TheBeautyContest,waltalgg,0-1
Rated Bullet game,https://lichess.org/TUIL8RgK,2023.09.17,?,waltalgg,JrCletus626,0-1
Rated Bullet game,https://lichess.org/VFrQtwvt,2023.09.17,?,waltalgg,Sassayew,0-1
Rated Bullet game,https://lichess.org/js0HHpzj,2023.09.17,?,DepperitoR,waltalgg,0-1
Rated Bullet game,https://lichess.org/i7SW3jwb,2023.09.17,?,dj00hnny,waltalgg,1-0
Rated Bullet game,https://lichess.org/Ppi8bbCG,2023.09.17,?,waltalgg,loost1,0-1
Rated Bullet game,https://lichess.org/jpZbcIhm,2023.09.17,?,thisisnotivan,waltalgg,0-1
Rated Bullet game,https://lichess.org/jorQsmeD,2023.09.17,?,waltalgg,ad01,1-0
Rated Bullet game,https://lichess.org/pedaeFFe,2023.09.17,?,waltalgg,SirPenda,1-0
Rated Bullet game,https://lichess.org/yWqn4myK,2023.09.17,?,CHPOK111,waltalgg,0-1
Rated Bullet game,https://lichess.org/fdZTkHeT,2023.09.16,?,Conan01,waltalgg,1-0
Rated Bullet game,https://lichess.org/D2LA8QN5,2023.09.16,?,waltalgg,KAHN83,1-0
Rated Bullet game,https://lichess.org/KeYqlST3,2023.09.16,?,waltalgg,AshotS,0-1
Rated Blitz game,https://lichess.org/pmjKNFoA,2023.09.15,?,waltalgg,Alkash45,0-1
Rated Bullet game,https://lichess.org/BeacopLE,2023.09.15,?,MaroxbabaEthan,waltalgg,1-0
Rated Bullet game,https://lichess.org/jMTQ6nJU,2023.09.15,?,ozbekis,waltalgg,0-1
Rated Bullet game,https://lichess.org/KrFRMIQ9,2023.09.15,?,waltalgg,ozbekis,1-0
Rated Bullet game,https://lichess.org/dNiRdZf3,2023.09.15,?,ozbekis,waltalgg,0-1
Rated Bullet game,https://lichess.org/mIxka0MH,2023.09.15,?,lesbeefunkee,waltalgg,0-1
Rated Bullet game,https://lichess.org/Nzqg0nBr,2023.09.15,?,waltalgg,justrapidly,0-1
Rated Bullet game,https://lichess.org/rMXwRG9q,2023.09.15,?,Senthodss,waltalgg,1-0
Rated Bullet game,https://lichess.org/B8BdaA42,2023.09.15,?,waltalgg,Hiscaru_Nkmura,1-0
